JobTitle,Location,Industry,Employment Type,seniorityLevel,JobFunction,CompanyName,JobPostedon
Drilling Engineer Well Construction,Denver; CO; US,Oil & Energy,Full-time,Not Applicable,Engineering,Anadarko Petroleum Corporation,26-08-17
ESS Analyst Analytics & Data Integrity,The Woodlands; TX; US,Oil & Energy,Full-time,Not Applicable,Finance,Anadarko Petroleum Corporation,25-08-17
Sr ESS Analyst Analytics & Data Integrity,The Woodlands; TX; US,Oil & Energy,Full-time,Not Applicable,Finance,Anadarko Petroleum Corporation,25-08-17
Sr ITS Developer _研 Data Engineering,Denver; CO; US,Oil & Energy,Full-time,Not Applicable,Information Technology,Anadarko Petroleum Corporation,18-08-17
Counsel / Sr Counsel _研 Project Finance,The Woodlands; TX; US,Oil & Energy,Full-time,Not Applicable,Legal,Anadarko Petroleum Corporation,11/8/17
Sr Commercial Development Rep Development & Execution,Denver; CO; US,Oil & Energy,Full-time,Not Applicable,Marketing,Anadarko Petroleum Corporation,11/9/17
Sr ITS Administrator GIS Systems,The Woodlands; TX; US,Oil & Energy,Full-time,Not Applicable,Information Technology,Anadarko Petroleum Corporation,11/10/17
Sr ESS Analyst SAP Financial Supply Chain Management,The Woodlands; TX; US,Oil & Energy,Full-time,Not Applicable,Finance,Anadarko Petroleum Corporation,27-07-17
Air Quality HSE Representative Midstream,Midland; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,26-08-17
Operations Geologist I,Midland; TX; US,Oil & Energy,Full-time,Not Applicable,Science,Anadarko Petroleum Corporation,26-08-17
Sr ITS Developer Systems Integrations,The Woodlands; TX; US,Oil & Energy,Full-time,Not Applicable,Information Technology,Anadarko Petroleum Corporation,26-08-17
Engineering Technologist NonOperated Development,Midland; TX; US,Oil & Energy,Full-time,Not Applicable,Engineering,Anadarko Petroleum Corporation,25-08-17
PSM / ASM Coordinator Delaware Basin,Kermit; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,24-08-17
Operator Wattenberg,Platteville; CO; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,24-08-17
Land Analyst Powder River Basin,Denver; CO; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,23-08-17
Sr Software Developer Applications Development,The Woodlands; TX; US,Oil & Energy,Full-time,Not Applicable,Information Technology,Anadarko Petroleum Corporation,22-08-17
Plant Foreman Mentone,Orla; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,21-08-17
Facilities Specialist Business Services,The Woodlands; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,19-08-17
Fieldman Midstream,Kermit; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,19-08-17
Plant Operator Ramsey Gas Plant,Orla; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,18-08-17
Sr. Plant Operator Ramsey Gas Plant,Orla; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,18-08-17
Fieldman Pipeline,Kermit; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,18-08-17
Electrical Maintenance Foreman Ramsey Gas Plant,Kermit; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,18-08-17
Emissions Tech Testing Delaware Basin,Orla; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,16-08-17
Emissions Tech Mechanical Delaware Basin,Orla; TX; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,16-08-17
Field Foreman DJ Basin Production Operations,Platteville; CO; US,Oil & Energy,Full-time,Not Applicable,Other,Anadarko Petroleum Corporation,16-08-17
Tanker Transport Driver Refined Products Division,Taylor; MI; US,Construction. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,8/11/17
Tanker Transport Driver Refined Products Division Niles Michigan,Niles; MI; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,26-08-17
Refined Product Tankwagon Driver,Taylor; MI; US,Construction. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,26-08-17
